rho_l,rho_s,k_l,k_s,cp_l,cp_s,Surr_temp,L_fusion,temp_init,heat_transfer_coefficient_left,heat_transfer_coefficient_right,Lowest_Niyama
2842.8,3000.0,96.0,110.0,954.8100000000001,967.0,626.0,389000.0,880.0,13.0,13.0,0.8308564055828919
2760.0,3090.0,96.0,110.0,954.8100000000001,967.0,626.0,389000.0,880.0,13.0,13.0,0.5789759969794127
2842.8,3090.0,96.0,110.0,954.8100000000001,967.0,626.0,389000.0,1408.0,10.0,11.0,0.001374580421059013
2760.0,3000.0,98.88,110.0,954.8100000000001,967.0,626.0,389000.0,880.0,13.0,11.0,0.0007184591764529256
2842.8,3000.0,98.88,110.0,954.8100000000001,967.0,626.0,389000.0,1408.0,10.0,13.0,0.001264732582269054
2760.0,3090.0,98.88,110.0,954.8100000000001,967.0,626.0,389000.0,1408.0,10.0,13.0,0.00010200636755999484
2842.8,3090.0,98.88,110.0,954.8100000000001,967.0,626.0,389000.0,880.0,13.0,11.0,0.0007363762676876607
2760.0,3000.0,96.0,113.3,954.8100000000001,967.0,626.0,389000.0,880.0,10.0,13.0,0.00022400964652294624
2842.8,3000.0,96.0,113.3,954.8100000000001,967.0,626.0,389000.0,1408.0,13.0,11.0,0.0001541119786590759
2760.0,3090.0,96.0,113.3,954.8100000000001,967.0,626.0,389000.0,1408.0,13.0,11.0,0.00014868259817761294
2842.8,3090.0,96.0,113.3,954.8100000000001,967.0,626.0,389000.0,880.0,10.0,13.0,0.00022959604781860199
2760.0,3000.0,98.88,113.3,954.8100000000001,967.0,626.0,389000.0,1408.0,13.0,13.0,0.646462980182981
2842.8,3000.0,98.88,113.3,954.8100000000001,967.0,626.0,389000.0,880.0,10.0,11.0,0.00018881313469287843
2760.0,3090.0,98.88,113.3,954.8100000000001,967.0,626.0,389000.0,880.0,10.0,11.0,0.000406476056093002
2842.8,3090.0,98.88,113.3,954.8100000000001,967.0,626.0,389000.0,1408.0,13.0,13.0,0.6625846146132098
2760.0,3000.0,96.0,110.0,927.0,996.01,626.0,389000.0,1408.0,13.0,13.0,0.691248978458932
2842.8,3000.0,96.0,110.0,927.0,996.01,626.0,389000.0,880.0,10.0,11.0,0.0013947433226072926
2760.0,3090.0,96.0,110.0,927.0,996.01,626.0,389000.0,880.0,10.0,11.0,0.0009317777817361271
2842.8,3090.0,96.0,110.0,927.0,996.01,626.0,389000.0,1408.0,13.0,13.0,0.7084874958568341
2760.0,3000.0,98.88,110.0,927.0,996.01,626.0,389000.0,880.0,10.0,13.0,0.0013821457944772583
2842.8,3000.0,98.88,110.0,927.0,996.01,626.0,389000.0,1408.0,13.0,11.0,0.0016514726691598469
2760.0,3090.0,98.88,110.0,927.0,996.01,626.0,389000.0,1408.0,13.0,11.0,9.666449362604486e-05
2842.8,3090.0,98.88,110.0,927.0,996.01,626.0,389000.0,880.0,10.0,13.0,0.0014166140169401017
2760.0,3000.0,96.0,113.3,927.0,996.01,626.0,389000.0,880.0,13.0,11.0,0.00045666890267514164
