rho_l,rho_s,k_l,k_s,cp_l,cp_s,Surr_temp,L_fusion,temp_init,heat_transfer_coefficient_left,heat_transfer_coefficient_right,Length,Lowest_Niyama,center_pt
2386.2,2791.3,107.2,99.08,1207.94,991.89,298.0,377330.0,901.0,15.0,15.0,0.01,2.47,0
2533.8,2791.3,107.2,99.08,1207.94,991.89,298.0,400670.0,925.0,15.0,10.0,0.01,0.17,0
2386.2,2628.7,100.88,93.31,1282.65,991.89,298.0,377330.0,925.0,15.0,10.0,0.02,0.13,0
2533.8,2628.7,100.88,93.31,1282.65,991.89,298.0,400670.0,901.0,15.0,15.0,0.02,10.38,0
2386.2,2791.3,100.88,93.31,1282.65,991.89,298.0,377330.0,901.0,10.0,15.0,0.02,0.57,0
2533.8,2791.3,100.88,93.31,1282.65,991.89,298.0,400670.0,925.0,10.0,10.0,0.02,5.99,0
2386.2,2628.7,107.2,93.31,1282.65,991.89,298.0,400670.0,901.0,10.0,10.0,0.01,3.05,0
2533.8,2628.7,107.2,93.31,1282.65,991.89,298.0,377330.0,925.0,10.0,15.0,0.01,0.13,0
2386.2,2791.3,107.2,93.31,1282.65,991.89,298.0,400670.0,925.0,15.0,15.0,0.01,2.7,0
2533.8,2791.3,107.2,93.31,1282.65,991.89,298.0,377330.0,901.0,15.0,10.0,0.01,0.0,0
2386.2,2628.7,100.88,99.08,1282.65,991.89,298.0,400670.0,901.0,15.0,15.0,0.01,3.21,0
2533.8,2628.7,100.88,99.08,1282.65,991.89,298.0,377330.0,925.0,15.0,10.0,0.01,0.9,0
2386.2,2791.3,100.88,99.08,1282.65,991.89,298.0,400670.0,925.0,10.0,10.0,0.01,2.38,0
2533.8,2791.3,100.88,99.08,1282.65,991.89,298.0,377330.0,901.0,10.0,15.0,0.01,0.34,0
2386.2,2628.7,107.2,99.08,1282.65,991.89,298.0,377330.0,925.0,10.0,15.0,0.02,0.13,0
2533.8,2628.7,107.2,99.08,1282.65,991.89,298.0,400670.0,901.0,10.0,10.0,0.02,8.99,0
2386.2,2791.3,107.2,99.08,1282.65,991.89,298.0,377330.0,901.0,15.0,10.0,0.02,0.58,0
2533.8,2791.3,107.2,99.08,1282.65,991.89,298.0,400670.0,925.0,15.0,15.0,0.02,6.26,0
2460.0,2710.0,104.03999999999999,96.195,1245.295,963.0,291.5,389000.0,913.0,12.5,12.5,0.015,4.54,1
